date,candidate_id,key,family,verdict,p,recent_p
2026-06-22,cal_11bf800cae,world_cup_year_nasdaq,calendar,faded,0.000999,0.135864
2026-06-22,cal_146a3e8961,dow_nasdaq,calendar,faded,0.000999,0.597403
2026-06-22,cal_2a991b85ee,sell_in_may_nasdaq,calendar,dead,0.040959,0.512488
2026-06-22,cal_2e5f17d421,month_nasdaq,calendar,inconclusive,0.315684,0.609391
2026-06-22,cal_6a08a2ccb6,pre_holiday_nasdaq,calendar,dead,0.125874,0.203796
2026-06-22,cal_7114c0729a,month_sp500,calendar,inconclusive,0.015984,0.13986
2026-06-22,cal_79870937ed,world_cup_year_sp500,calendar,dead,0.014985,0.171828
2026-06-22,cal_82e1f1d8c9,pre_holiday_sp500,calendar,dead,0.074925,0.142857
2026-06-22,cal_85cc7cc6d7,dow_sp500,calendar,faded,0.000999,0.819181
2026-06-22,cal_8d5125126b,term_year3_sp500,calendar,inconclusive,0.04995,
2026-06-22,cal_8fe611a742,santa_nasdaq,calendar,dead,0.007992,0.222777
2026-06-22,cal_94c08fa012,santa_sp500,calendar,faded,0.000999,0.18981
2026-06-22,cal_bbcc723bdf,decade_digit_sp500,calendar,inconclusive,0.163836,
2026-06-22,cal_bc77212229,sell_in_may_sp500,calendar,dead,0.082917,0.248751
2026-06-22,cal_ec09c00a99,presidential_cycle_sp500,calendar,inconclusive,0.300699,
2026-06-22,fac_4beec74249,BTC_mom20_neg,factor,dead,0.006,0.006
2026-06-22,fac_70486895ee,dxy_rising,factor,dead,0.506,0.963
2026-06-22,fac_7578b1d58f,vix_backwardation,factor,dead,0.827,0.701
2026-06-22,fac_778b84a969,NASDAQ_mom20_neg,factor,dead,0.047,0.465
2026-06-22,fac_79cf4a9a7b,NASDAQ_above_ma200,factor,dead,0.008,0.06
2026-06-22,fac_a1bf6a105c,nasdaq_rsi_overbought,factor,dead,0.276,0.465
2026-06-22,fac_ab89704768,nasdaq_high_vol,factor,faded,0.004,0.992
2026-06-22,fac_bed960d3e2,NASDAQ_mom20_pos,factor,dead,0.428,0.737
2026-06-22,fac_c872e5eb69,BTC_above_ma200,factor,dead,0.165,0.142
2026-06-22,fac_cc60102eac,dxy_falling,factor,dead,0.723,0.694
2026-06-22,fac_d738a0c3fd,nasdaq_low_vol,factor,dead,0.269,0.56
2026-06-22,fac_d8a4f38258,overnight_mom_neg,factor,dead,0.272,0.345
2026-06-22,fac_dcbd9f57b5,overnight_mom_pos,factor,dead,0.272,0.345
2026-06-22,fac_e2be6309e8,nasdaq_rsi_oversold,factor,dead,0.51,0.349
2026-06-22,fac_f834dcf2c0,BTC_mom20_pos,factor,survive,0.0,0.004
2026-06-22,reb_018df927fb,p1_h5_sp500,rebound,dead,0.288,0.613
2026-06-22,reb_0b54f655e4,p10_h1_nasdaq,rebound,faded,0.0,0.411
2026-06-22,reb_183bf3c31c,p5_h1_sp500,rebound,dead,0.906,0.261
2026-06-22,reb_2617209d72,p10_h5_nasdaq,rebound,faded,0.001,0.265
2026-06-22,reb_2b218993db,p1_h5_nasdaq,rebound,dead,0.544,0.89
2026-06-22,reb_7155c924ca,p10_h1_sp500,rebound,dead,0.25,0.09
2026-06-22,reb_7e3e4a8d62,p1_h1_sp500,rebound,dead,0.263,0.544
2026-06-22,reb_8055fe6f4a,p1_h1_nasdaq,rebound,dead,0.222,0.482
2026-06-22,reb_91f1615526,p10_h5_sp500,rebound,dead,0.028,0.73
2026-06-22,reb_9adb2feef5,p5_h1_nasdaq,rebound,faded,0.0,0.102
2026-06-22,reb_b016e921c3,p5_h5_sp500,rebound,dead,0.34,0.643
2026-06-22,reb_b61bcf84d2,p5_h5_nasdaq,rebound,dead,0.045,0.06
